"Adresse : Ville","COLL_INSEE","ACCESSIBILITE _COMPTEUR","EMPLACEMENT_TYPE","FERMETURE_COMPTEUR","FERMETURE_DATE","TOURNEE_CODE","ANNEE_COMPTEUR","MARQUE_COMPTEUR","DIAMETRE_COMPTEUR","TYPE_COMPTEUR","POSE_DATE","Radio relève","ANCIEN_RELEVE_DATE","ANCIEN_INDEX","NOUVEAU_RELEVE-DATE","NOUVEAU_RELEVE","RELEVE_TYPE","CONSOMMATION","RELEVE_N-1_DATE","RELEVE_N-1","RELEVE_N-1_TYPE","CONSOMMATION","RELEVE_N-2_DATE","RELEVE_N-2","RELEVE_N-2_TYPE","CONSOMMATION","RELEVE_N-3_DATE","RELEVE_N-3","RELEVE_N-3_TYPE","CONSOMMATION_N-3","RELEVE_N-4_DATE","RELEVE_N-4","RELEVE_N-4_TYPE","CONSOMMATION_N-4","RELEVE_N-5_DATE","RELEVE_N-5","RELEVE_N-5_TYPE","CONSOMMATION_N-5","CONTRAT_ACTIF","OUVERTURE_CONTRAT_DATE","CLOTURE_CONTRAT_DATE"
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,90,2016,"Sappel",40,"Altair",24/10/2018,"Oui",15/11/2018,0,14/02/2019,0,"R",0,15/11/2018,0,"R",0,24/10/2018,0,"R",0,24/10/2018,8553,"R",70,20/08/2018,8483,"R",344,15/05/2018,8139,"R",192,"Oui",30/03/2012,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,90,2007,"Sappel",60,"Aquila",30/11/2007,"Oui",15/11/2018,30382,14/02/2019,30595,"R",213,15/11/2018,30382,"R",1402,20/08/2018,28980,"R",0,15/05/2018,28980,"R",0,14/02/2018,28980,"R",4631,14/11/2017,24349,"R",2793,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2016,"Sappel",15,"Altair",14/04/2017,"Oui",27/09/2018,172,26/03/2019,231,"R",59,27/09/2018,172,"R",63,27/03/2018,109,"R",61,26/09/2017,48,"R",48,14/04/2017,0,"R",0,14/04/2017,48,"R",5,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Non","GARAGE","Non",,45,2007,"Sappel",15,"Altair",05/02/2007,"Oui",27/09/2018,638,26/03/2019,657,"R",19,27/09/2018,638,"R",19,27/03/2018,619,"R",17,27/09/2017,602,"R",18,03/04/2017,584,"R",17,27/09/2016,567,"R",19,"Oui",01/07/2013,
"DIGNE LES BAINS","04070","Non",,"Non",,45,2016,"Sappel",15,"Altair",18/11/2016,"Oui",02/01/2019,180,26/03/2019,186,"R",6,02/01/2019,180,"U",1,18/11/2018,179,"R",11,27/09/2018,168,"R",48,29/03/2018,120,"R",52,27/09/2017,68,"R",25,"Oui",02/01/2019,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,15,2011,"Sappel",15,"Altair",20/06/2011,"Oui",29/08/2018,956,26/02/2019,957,"R",1,29/08/2018,956,"R",2,23/02/2018,954,"R",4,24/08/2017,950,"R",16,01/03/2017,934,"R",86,29/08/2016,848,"R",115,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2018,"Sappel",15,"Altair",04/07/2018,"Oui",27/09/2018,9,26/03/2019,22,"R",13,27/09/2018,9,"R",9,04/07/2018,0,"R",0,04/07/2018,54,"R",9,28/03/2018,45,"R",15,27/09/2017,30,"R",30,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Non",,"Non",,10,,,,,01/01/2017,,20/08/2018,0,14/02/2019,0,"R",0,20/08/2018,0,"R",0,15/02/2018,0,"R",0,16/08/2017,0,"R",0,21/02/2017,0,"R",0,22/08/2016,0,"R",0,"Oui",01/01/2012,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,70,2012,"Sappel",15,"Altair",03/05/2013,"Oui",14/05/2018,514,06/11/2018,635,"R",121,14/05/2018,514,"R",0,13/05/2018,514,"R",0,02/05/2018,514,"R",0,06/11/2017,514,"R",9,25/07/2017,505,"R",0,"Oui",14/05/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",23/06/2010,40,2008,"Actaris",15,"Aquadis+",23/10/2008,,21/09/2018,0,15/03/2019,0,"R",0,21/09/2018,0,"R",0,19/03/2018,0,"R",0,20/09/2017,0,"R",0,30/03/2017,0,"R",0,26/09/2016,0,"R",0,,02/09/2009,21/06/2010
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,50,2013,"Sappel",15,"Altair",24/12/2013,"Oui",09/04/2018,71,02/10/2018,80,"R",9,09/04/2018,71,"R",3,09/10/2017,68,"R",8,06/04/2017,60,"R",6,03/10/2016,54,"R",9,26/04/2016,45,"R",8,"Oui",02/04/2013,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,15,2015,"Sappel",15,"Altair",05/05/2015,"Oui",24/08/2018,107,22/02/2019,113,"R",6,24/08/2018,107,"R",7,22/02/2018,100,"R",8,29/08/2017,92,"R",8,28/02/2017,84,"R",4,16/01/2017,80,"R",0,"Oui",16/01/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2014,"Sappel",15,"Altair",04/09/2014,"Oui",27/09/2018,171,26/03/2019,197,"R",26,27/09/2018,171,"R",26,27/03/2018,145,"R",20,27/09/2017,125,"R",21,30/03/2017,104,"R",17,27/09/2016,87,"R",23,"Oui",02/09/2009,
