jour;categorie;value
2017-03-06;Résidentiels;22588193780.0
2017-03-06;Entreprises;14307737398.0
2017-03-21;Résidentiels;17410217504.0
2017-03-28;Résidentiels;15016558261.0
2017-03-28;Entreprises;14213991304.0
2017-04-06;Entreprises;14110701480.0
2017-04-19;Professionnels;4768941605.0
2017-05-19;PME / PMI;4773308834.0
2017-05-19;Résidentiels;11575183329.0
2017-06-19;Entreprises;14522613136.0
2017-07-31;Entreprises;12324642699.0
2017-08-14;Résidentiels;10866446567.0
2017-08-22;Entreprises;13384631391.0
2017-09-29;Résidentiels;11275557080.0
2017-10-03;Professionnels;4206878516.0
2017-10-11;Résidentiels;12790015814.0
2017-11-08;PME / PMI;6315069979.0
2017-11-08;Professionnels;5998855071.0
2017-11-08;Entreprises;14995786086.0
2017-11-17;Professionnels;5936568372.0
2017-12-11;PME / PMI;7000015011.0
2017-12-11;Résidentiels;25622521234.0
2017-12-17;Résidentiels;29163568432.0
2018-01-15;Professionnels;6299308865.0
2018-01-15;Résidentiels;25599459179.0
2018-03-16;Entreprises;14159315529.0
2018-03-18;Résidentiels;26526388711.0
2018-03-19;Entreprises;14843698105.0
2018-04-02;Entreprises;10263362423.0
2018-04-22;PME / PMI;3071464187.0
2018-05-10;Professionnels;2898510471.0
2018-05-30;Professionnels;3655817151.0
2018-05-30;Entreprises;14187197841.0
2018-06-02;Entreprises;10127893938.0
2018-06-16;Professionnels;3319401112.0
2018-08-07;Professionnels;3995731039.0
2018-08-13;PME / PMI;4730447936.0
2018-08-16;PME / PMI;4869301334.0
2018-09-09;PME / PMI;3405381848.0
2018-09-09;Professionnels;3174460183.0
2018-09-09;Résidentiels;11341471759.0
2018-09-11;Entreprises;14515699899.0
2018-09-25;PME / PMI;4959083210.0
2018-09-25;Entreprises;14214476284.0
2018-10-09;PME / PMI;5072122840.0
2018-10-11;PME / PMI;5047546137.0
2018-10-11;Entreprises;14237064055.0
2018-10-21;Professionnels;3541631255.0
2018-10-21;Entreprises;8547113213.0
2018-10-24;Professionnels;4488183699.0
2018-11-10;PME / PMI;4556353926.0
2018-11-21;Résidentiels;25429743724.0
2018-11-23;Professionnels;6147921085.0
2018-12-26;Entreprises;11326755609.0
2019-01-23;Entreprises;15752206962.0
2019-02-12;Entreprises;15241100239.0
2019-02-14;Professionnels;6169777210.0
2019-02-15;Résidentiels;23146201374.0
2019-04-10;Professionnels;4795586231.0
2019-04-10;Entreprises;14180357016.0
2019-04-11;Professionnels;4910622558.0
2019-05-08;Résidentiels;15946957251.0
2019-05-27;PME / PMI;4690822463.0
2019-07-08;Entreprises;14072996880.0
2019-07-12;PME / PMI;5115220241.0
2019-07-12;Entreprises;14468883032.0
2019-08-09;Résidentiels;10771986180.0
2019-08-28;Professionnels;3934482113.0
2019-08-28;Entreprises;14295993514.0
2019-09-08;Professionnels;3108452268.0
2019-09-08;Entreprises;8484963786.0
2019-09-11;Résidentiels;10809571839.0
2019-09-11;Entreprises;13946510024.0
2019-09-18;Résidentiels;10554544215.0
2019-09-29;PME / PMI;3197005366.0
2019-10-13;PME / PMI;3251291367.0
2019-10-13;Professionnels;3398502475.0
2019-10-28;PME / PMI;5043668844.0
2019-11-02;Résidentiels;15453608931.0
2019-11-09;Entreprises;10410578207.0
2019-12-20;PME / PMI;5770906131.0
2019-12-21;Résidentiels;21874094544.0
2019-12-21;Entreprises;9851246874.0
2019-12-22;Professionnels;4880912388.0
2019-12-25;Entreprises;8719234008.0
2020-01-21;Résidentiels;27656485098.0
2020-01-31;Professionnels;5608262274.0
2020-01-31;Entreprises;14025572736.0
2020-02-16;PME / PMI;4190651403.0
2020-02-17;PME / PMI;5901822278.0
2020-02-17;Professionnels;5242094666.0
2020-02-21;Professionnels;5609624820.0
2020-02-28;Résidentiels;23966370833.0
2020-05-08;Professionnels;2863098817.0
2020-05-08;Entreprises;8916706854.0
2020-05-16;Entreprises;8554736230.0
2020-05-23;Entreprises;8380179419.0
2020-05-30;Entreprises;8891176030.0
2020-06-05;PME / PMI;4028581279.0
2020-06-26;Professionnels;3935750358.0
2020-07-11;Entreprises;10002467099.0
2020-08-04;Résidentiels;10610511785.0
