perimetre;nature;date;heure;date_heure;consommation;prevision_j1;prevision_j;fioul;charbon;gaz;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques;taux_co2;ech_comm_angleterre;ech_comm_espagne;ech_comm_italie;ech_comm_suisse;ech_comm_allemagne_belgique;fioul_tac;fioul_cogen;fioul_autres;gaz_tac;gaz_cogen;gaz_ccg;gaz_autres;hydraulique_fil_eau_eclusee;hydraulique_lacs;hydraulique_step_turbinage;bioenergies_dechets;bioenergies_biomasse;bioenergies_biogaz
France;Données temps réel;2022-01-01;18:15;2022-01-01T18:15:00+01:00;52869;50100;51400;215;27;2574;42099;4566;219;11204;-28;886;-8893;28;;;;;;2;33;180;0;2290;284;1;6229;2727;2248;238;363;284
France;Données temps réel;2022-01-02;02:30;2022-01-02T02:30:00+01:00;47937;47700;48200;214;26;2895;38922;5436;0;6008;-3052;874;-3386;36;820;-3191;-2033;-3044;3902;1;33;180;0;2322;573;1;5642;366;0;236;357;284
France;Données temps réel;2022-01-02;02:45;2022-01-02T02:45:00+01:00;47200;47000;47400;215;26;2886;38515;5459;0;5958;-3072;879;-3666;37;;;;;;2;33;180;0;2319;567;1;5556;402;0;236;360;284
France;Données temps réel;2022-01-02;03:15;2022-01-02T03:15:00+01:00;45797;45900;46050;215;26;2899;36754;5522;0;5896;-3114;890;-3291;38;;;;;;2;33;180;0;2320;579;1;5543;353;0;245;362;284
France;Données temps réel;2022-01-02;03:30;2022-01-02T03:30:00+01:00;45261;45500;45500;214;23;2876;36414;5701;0;5882;-3137;882;-3594;38;534;-3098;-2033;-2700;3881;1;33;180;0;2320;556;1;5524;358;0;234;365;284
France;Données temps réel;2022-01-02;05:45;2022-01-02T05:45:00+01:00;44371;44850;44650;214;24;2860;36035;7269;0;5844;-3714;881;-5042;37;;;;;;1;33;180;0;2322;538;1;5401;443;0;232;365;284
France;Données temps réel;2022-01-02;06:15;2022-01-02T06:15:00+01:00;45203;45600;45050;214;25;2836;36054;7716;0;5920;-3480;878;-4960;37;;;;;;1;33;180;0;2323;514;1;5487;433;0;233;362;284
France;Données temps réel;2022-01-02;07:00;2022-01-02T07:00:00+01:00;45618;46400;45900;215;29;2815;36284;8420;0;5933;-3467;884;-5495;36;625;-3098;-2033;-3200;3770;2;33;180;0;2320;496;1;5468;465;0;234;361;284
France;Données temps réel;2022-01-02;09:30;2022-01-02T09:30:00+01:00;49899;50400;49900;215;30;2661;37699;9128;606;6205;-2371;875;-5149;32;786;-3283;-2033;-3200;1093;2;33;180;0;2320;342;1;5588;615;2;231;360;284
France;Données temps réel;2022-01-02;10:45;2022-01-02T10:45:00+01:00;52433;51850;52550;214;30;2648;38723;8972;1724;6493;-2025;875;-5221;31;;;;;;1;33;180;0;2319;329;1;5647;844;2;239;357;284
